species,pop,ploidy,C-values,order
annua,2,2,0.622937511,1
annua,62,2,0.647165918,1
annua,74,2,0.656626934,1
annua,79,2,0.615726195,1
annua,232,2,0.65428887,1
annua,596,2,0.650363526,1
annua,1564,2,0.636959602,1
bhuetii,678,2,0.690676968,2
bhuetii,719,2,0.695626698,2
cannua,1018,4,1.259769342,3
cannua,1020,4,1.275048628,3
cannua,1031,4,1.245441872,3
dcanariensis,200,4,1.574873916,4
dcanariensis,206,4,1.573751369,4
dcanariensis,209,4,1.574232401,4
dcanariensis,213,4,1.566248838,4
eannua,85,6,1.854850282,5
eannua,612,6,1.855221865,5
eannua,620,6,1.89128962,5
eannua,631,6,1.911596447,5
eannua,636,6,1.93268646,5
eannua,648,6,1.950111461,5
eannua,660,6,1.932604674,5
eannua,1036,6,1.863368086,5
eannua,1044,6,1.861619838,5
fannua,AH5,6,1.834763482,6
fannua,AH6,6,1.8412079,6
fannua,M24,6,1.890387076,6
fannua,M30,6,1.718798286,6
fannua,M32,6,1.770519516,6
fannua,M34,6,1.797690095,6
gannua_P+,ph1_2013,6,2.102119309,7
gannua_P+,ph1_2015,6,1.998270742,7
gannua_P+,ph2_2015,6,1.84675646,7
gannua_P+,D_5,6,2.149185851,7
gannua_P+,Ph8_1,6,2.007513439,7
gannua_P+,ph4_2015,6,2.180261011,7