scanned sheet;ID;plant;position;morph;genotype;Fam;Rep;petioleLength;bladeLength;bladeWidth;bladeArea;bladePerimeter;bladeCircularity;perimeter_area;blade_petiole
55;632;4;12;P+;PH3;25;11;181.4;690.6;488.2;264785;3076;0.352;0.011616972;3.807967578
55;631;4;11;P+;PH3;25;11;252.7;620.9;475.1;231682;2766;0.381;0.011938778;2.456486303
55;633;4;12;P+;PH3;25;11;207.4;490.6;360.2;138775;2060;0.411;0.014844172;2.365856011
12;137;3;8;P+;PH2;26;3;274.9;586.4;395.7;182230;2590;0.341;0.014212808;2.132713075
12;138;3;9;P+;PH2;26;3;203.4;619.4;419.6;204146;2922;0.3;0.014313286;3.04484457
12;136;3;7;P+;PH2;26;3;234.5;557.1;379.4;165981;2558;0.319;0.015411403;2.375431729
51;587;2;5;P+;PH2;26;10;194.3;714.6;490.8;275436;3256;0.326;0.011821258;3.677214506
51;588;2;6;P+;PH2;26;10;147.2;770.6;485.6;293935;3516;0.299;0.011961828;5.236921864
51;586;2;4;P+;PH2;26;10;218.2;626.2;417.9;205494;2744;0.343;0.013353188;2.869901595
40;471;4;12;P-;M28;27;6;212.9;424.5;248.0;82696;1736;0.345;0.020992551;1.994161112
40;469;4;10;P-;M28;27;6;154.0;370.1;223.5;64965;1432;0.398;0.022042638;2.403781207
40;470;4;11;P-;M28;27;6;143.8;293.8;158.8;36646;1124;0.365;0.030671833;2.043021744
3;30;2;6;P+;PH3;28;1;289.1;664.7;524.1;273607;3106;0.356;0.011352049;2.299281561
3;28;2;4;P+;PH3;28;1;196.0;674.4;438.9;232461;2970;0.331;0.012776337;3.440465076
3;29;2;5;P+;PH3;28;1;127.1;569.2;388.9;173853;2568;0.331;0.0147711;4.479739673
15;166;1;1;P-;AH5;29;3;261.5;618.9;385.9;187605;2420;0.403;0.012899443;2.366402465
15;168;1;3;P-;AH5;29;3;230.2;558.8;340.4;149399;2232;0.377;0.014939859;2.427190792
28;320;1;2;P-;AH7;29;7;441.7;671.4;386.6;203895;2514;0.405;0.012329876;1.520040477
28;319;1;1;P-;AH7;29;7;478.2;713.8;375.1;210316;2616;0.386;0.012438426;1.492542588
28;321;1;3;P-;AH7;29;7;214.4;649.1;345.8;176281;2380;0.391;0.013501171;3.027243687
1;10;4;10;P-;M28;30;1;189.3;423.5;267.7;89042;1670;0.401;0.018755194;2.236988052
1;11;4;11;P-;M28;30;1;193.4;411.2;253.0;81708;1632;0.386;0.019973564;2.125986776
1;12;4;12;P-;M28;30;1;191.0;481.1;229.7;86802;1820;0.329;0.020967259;2.518259713
36;420;2;6;P+;PH3;30;6;105.8;500.2;412.7;162136;2368;0.363;0.014605023;4.728009981
36;418;2;4;P+;PH3;30;6;159.5;508.7;419.2;167495;2528;0.329;0.015092988;3.188696868
36;419;2;5;P+;PH3;30;6;85.8;538.2;381.9;161414;2496;0.326;0.015463343;6.269176558
37;437;4;11;P-;M28;30;9;238.8;743.3;450.0;262695;2938;0.382;0.011184073;3.113091773
37;436;4;10;P-;M28;30;9;291.4;693.3;458.0;249384;3020;0.344;0.012109839;2.379121973
37;438;4;12;P-;M28;30;9;174.4;669.0;373.3;196143;2600;0.365;0.013255635;3.836759156
21;241;2;4;P-;AH5;31;4;131.4;652.9;386.2;198035;2750;0.329;0.013886434;4.970765131
21;242;2;5;P-;AH5;31;4;209.5;655.4;365.7;188257;2692;0.326;0.014299601;3.127704047
21;243;2;6;P-;AH5;31;4;180.8;584.5;253.5;116382;2158;0.314;0.018542386;3.231977262
21;238;1;1;P-;AH6;31;4;200.5;619.0;423.5;205867;2606;0.381;0.012658658;3.087455733
21;239;1;2;P-;AH6;31;4;126.8;545.8;314.6;134868;2116;0.379;0.015689415;4.306280719
21;240;1;3;P-;AH6;31;4;116.1;465.6;251.1;91834;1736;0.383;0.018903674;4.009955219
15;174;3;9;P+;PH2;31;4;174.8;624.1;393.3;192792;2762;0.318;0.014326321;3.569670936
15;173;3;8;P+;PH2;31;4;203.1;549.1;410.9;177199;2610;0.327;0.014729203;2.703236764
15;172;3;7;P+;PH2;31;4;180.5;342.1;289.2;77708;1754;0.317;0.022571679;1.895524125
53;606;2;6;P+;PH2;31;11;178.6;575.5;409.3;184977;2512;0.368;0.013580067;3.221783043
53;604;2;4;P+;PH2;31;11;187.3;588.1;403.3;186256;2634;0.337;0.014141826;3.139761982
53;605;2;5;P+;PH2;31;11;214.2;551.1;377.6;163414;2402;0.356;0.014698863;2.572539574
5;56;3;8;P-;AH7;32;2;291.8;591.7;379.0;176148;2298;0.419;0.013045848;2.028076333
5;55;3;7;P-;AH7;32;2;354.9;534.6;392.3;164725;2252;0.408;0.01367127;1.5061335
5;57;3;9;P-;AH7;32;2;276.6;571.0;289.2;129713;2062;0.383;0.015896633;2.064232753
26;304;4;10;P-;AH5;33;5;277.7;627.3;372.8;183682;2558;0.353;0.013926242;2.258952107
26;305;4;11;P-;AH5;33;5;283.7;712.8;355.4;198969;2780;0.324;0.013972026;2.512312458
26;306;4;12;P-;AH5;33;5;160.0;643.8;322.1;162871;2616;0.299;0.016061791;4.024763679
35;410;3;8;P+;PH2;33;8;208.4;551.4;385.6;166991;2574;0.317;0.015414004;2.645677792
35;409;3;7;P+;PH2;33;8;240.5;551.2;383.5;166014;2562;0.318;0.015432433;2.291889824
35;411;3;9;P+;PH2;33;8;126.8;581.5;392.7;179365;2894;0.269;0.016134697;4.58640135
17;197;3;8;P-;AH6;34;3;244.3;590.3;394.0;182681;2460;0.379;0.013466097;2.415879837
17;196;3;7;P-;AH6;34;3;290.1;587.4;390.5;180162;2490;0.365;0.013820895;2.024761452
17;198;3;9;P-;AH6;34;3;118.7;550.3;359.3;155264;2248;0.386;0.014478566;4.636755846
25;287;2;5;P-;AH7;34;4;241.8;576.5;333.5;151010;2182;0.399;0.014449374;2.383768049
25;288;2;6;P-;AH7;34;4;131.7;504.0;347.3;137479;2058;0.408;0.014969559;3.825858902
25;286;2;4;P-;AH7;34;4;268.7;502.2;351.7;138718;2094;0.398;0.015095373;1.869117587
52;592;2;4;P-;AH6;34;11;210.6;645.1;496.4;251523;2852;0.389;0.011338923;3.063483245
52;593;2;5;P-;AH6;34;11;154.9;637.5;370.3;185383;2554;0.357;0.013776884;4.116533755
52;594;2;6;P-;AH6;34;11;90.1;526.8;335.6;138854;2152;0.377;0.015498293;5.846500477
52;595;3;7;P-;AH7;34;11;104.8;758.0;480.9;286316;2974;0.407;0.010387125;7.23117064
52;596;3;8;P-;AH7;34;11;120.0;750.3;498.8;293902;3138;0.375;0.010677028;6.254849816
52;597;3;9;P-;AH7;34;11;136.9;733.0;397.6;228910;2904;0.341;0.012686209;5.354750807
21;244;3;7;P+;PH3;36;4;140.3;517.0;399.0;162019;2400;0.353;0.014813077;3.685848532
21;245;3;8;P+;PH3;36;4;151.3;522.4;381.8;156646;2448;0.328;0.015627593;3.452220922
21;246;3;9;P+;PH3;36;4;126.9;521.2;314.7;128815;2198;0.335;0.01706323;4.108213132
33;379;1;1;P+;PH3;37;8;184.2;624.0;440.5;215891;2676;0.379;0.012395144;3.388515421
33;380;1;2;P+;PH3;37;8;175.0;588.8;448.9;207617;2592;0.388;0.012484527;3.36521426
33;381;1;3;P+;PH3;37;8;108.1;606.7;422.6;201368;2710;0.345;0.013457948;5.613638046
3;25;1;1;P-;AH7;40;1;365.0;614.6;376.2;181583;2262;0.446;0.012457113;1.683653427
3;26;1;2;P-;AH7;40;1;297.1;628.7;338.3;167036;2254;0.413;0.013494097;2.115942614
3;27;1;3;P-;AH7;40;1;218.5;598.0;286.5;134571;2116;0.378;0.015724042;2.73673107
7;76;3;7;P-;AH6;40;2;277.5;800.8;586.2;368681;3466;0.386;0.009401081;2.885422522
7;77;3;8;P-;AH6;40;2;226.8;715.0;447.2;251112;2986;0.354;0.011891108;3.1532257
7;78;3;9;P-;AH6;40;2;150.2;623.8;392.2;192153;2660;0.341;0.013843135;4.154177571
18;209;3;8;P+;PH2;40;5;260.5;691.5;501.9;272580;3124;0.351;0.011460856;2.654573793
18;210;3;9;P+;PH2;40;5;175.5;753.5;492.1;291202;3628;0.278;0.012458706;4.293143036
18;208;3;7;P+;PH2;40;5;217.0;566.2;393.0;174756;2538;0.341;0.014523107;2.60871909
33;386;3;8;P-;AH7;40;8;263.4;621.7;362.6;177028;2248;0.44;0.012698556;2.359922866
33;385;3;7;P-;AH7;40;8;306.6;433.0;372.2;126587;1848;0.466;0.014598655;1.412204254
33;387;3;9;P-;AH7;40;8;187.9;558.2;303.7;133159;1986;0.424;0.014914501;2.970265524
49;565;3;7;P-;AH6;40;10;219.6;813.2;508.7;324880;3494;0.334;0.01075474;3.702708856
49;566;3;8;P-;AH6;40;10;178.2;762.0;403.3;241384;3104;0.315;0.012859179;4.277277575
49;567;3;9;P-;AH6;40;10;157.3;634.0;332.8;165719;2514;0.329;0.015170258;4.030376431
1;1;1;1;P+;PH2;41;1;177.3;591.7;383.3;178129;2636;0.322;0.014798264;3.338324232
1;2;1;2;P+;PH2;41;1;153.0;562.3;371.7;164175;2474;0.337;0.015069286;3.674355389
1;3;1;3;P+;PH2;41;1;94.9;491.4;371.2;143253;2582;0.27;0.018024055;5.179176679
30;352;4;10;P+;PH3;41;7;316.2;740.8;573.4;333598;3600;0.323;0.010791432;2.342737511
30;354;4;12;P+;PH3;41;7;195.3;674.2;470.3;249001;2940;0.362;0.011807181;3.452791535
30;353;4;11;P+;PH3;41;7;274.6;662.4;473.5;246337;3018;0.34;0.012251509;2.412433082
45;519;3;9;P+;PH2;41;9;185.5;675.9;450.6;239188;3158;0.301;0.013203003;3.643985832
45;517;3;7;P+;PH2;41;9;213.2;533.6;380.8;159619;2428;0.34;0.015211222;2.502875073
45;518;3;8;P+;PH2;41;9;236.6;607.1;390.3;186118;2854;0.287;0.015334358;2.565868213
18;202;1;1;P-;AH6;45;5;401.3;788.3;512.2;317122;3252;0.377;0.010254728;1.964273879
18;203;1;2;P-;AH6;45;5;313.0;775.9;517.1;315121;3330;0.357;0.010567369;2.478988536
18;204;1;3;P-;AH6;45;5;226.7;932.4;506.4;370827;3954;0.298;0.010662654;4.113567077
2;13;1;1;P-;M27;;1;129.6;682.2;553.5;296580;3014;0.41;0.010162519;5.265767191
2;14;1;2;P-;M27;;1;174.1;661.7;495.1;257310;3086;0.34;0.011993315;3.800322764
2;15;1;3;P-;M27;;1;98.2;627.1;406.8;200365;2710;0.343;0.013525316;6.382841206
4;37;1;1;P+;M31;;1;320.3;760.5;543.8;324794;3148;0.412;0.009692297;2.374382991
4;38;1;2;P+;M31;;1;216.5;712.0;437.3;244528;2890;0.368;0.011818687;3.288633939
4;39;1;3;P+;M31;;1;172.1;585.9;293.9;135256;2168;0.362;0.016028864;3.405155178
10;112;3;7;P-;M32;;1;282.4;730.6;515.5;295829;2992;0.415;0.010113951;2.586908416
10;113;3;8;P-;M32;;1;301.6;636.2;377.9;188813;2370;0.422;0.012552102;2.109701465
10;114;3;9;P-;M32;;1;200.9;651.6;321.5;164524;2402;0.358;0.014599694;3.24267443
2;22;4;10;P-;M34;;1;270.9;632.4;337.8;167752;2260;0.413;0.013472269;2.334418665
2;23;4;11;P-;M34;;1;257.4;709.5;322.5;179729;2534;0.352;0.014099005;2.756340977
2;24;4;12;P-;M34;;1;190.0;574.5;234.3;105724;2038;0.32;0.019276607;3.024616745
1;6;2;6;P-;M36;;1;215.9;601.0;438.1;206790;2652;0.369;0.012824605;2.783863527
1;4;2;4;P-;M36;;1;270.9;425.4;278.1;92916;1690;0.409;0.018188471;1.570345433
1;5;2;5;P-;M36;;1;266.7;521.3;266.0;108899;2040;0.329;0.018732954;1.954663917
3;34;4;10;P-;M38;;1;250.9;819.7;548.6;353163;3318;0.403;0.009395095;3.267025368
3;35;4;11;P-;M38;;1;185.2;725.0;378.1;215287;2678;0.377;0.012439209;3.915173412
3;36;4;12;P-;M38;;1;139.3;650.6;304.1;155405;2400;0.339;0.015443519;4.669755324
2;16;2;4;P+;PH1_2014;;1;147.1;680.7;471.9;252302;2724;0.427;0.010796585;4.62703996
2;18;2;6;P+;PH1_2014;;1;169.9;640.5;388.5;195431;2542;0.38;0.013007148;3.769303196
2;17;2;5;P+;PH1_2014;;1;154.6;544.4;271.4;116024;2036;0.352;0.017548093;3.521491917
4;46;4;10;P+;PH1_2015;;1;249.3;836.2;485.6;318904;3170;0.399;0.009940296;3.354609019
4;47;4;11;P+;PH1_2015;;1;177.4;693.7;337.5;183870;2476;0.377;0.013466036;3.909894879
4;48;4;12;P+;PH1_2015;;1;132.0;672.1;311.4;164390;2428;0.35;0.014769755;5.089772426
3;31;3;7;P+;PH2_2015;;1;231.6;677.6;504.8;268630;2704;0.462;0.01006589;2.926021245
3;32;3;8;P+;PH2_2015;;1;203.1;687.5;446.6;241108;2600;0.448;0.010783549;3.384438154
3;33;3;9;P+;PH2_2015;;1;179.8;785.5;423.7;261408;2906;0.389;0.011116722;4.370103752
4;40;2;4;P+;PH3_2015;;1;284.4;585.0;461.7;212142;2674;0.373;0.012604765;2.05709182
4;41;2;5;P+;PH3_2015;;1;281.8;635.4;420.1;209614;2664;0.371;0.012709075;2.254351853
4;42;2;6;P+;PH3_2015;;1;244.5;629.6;392.8;194226;2564;0.371;0.013201116;2.575119934
7;71;1;2;P+;PH4_2015;;1;220.0;644.7;383.2;194028;2838;0.303;0.014626755;2.929970958
7;70;1;1;P+;PH4_2015;;1;273.7;576.7;360.3;163218;2540;0.318;0.015562009;2.107573798
7;72;1;3;P+;PH4_2015;;1;176.2;654.8;333.6;171549;2746;0.286;0.016007088;3.716922012
8;88;3;7;P-;M27;;2;121.2;693.2;526.3;286560;3196;0.353;0.011152987;5.718566974
8;89;3;8;P-;M27;;2;170.3;611.2;383.3;183989;2626;0.335;0.014272592;3.589579895
8;90;3;9;P-;M27;;2;135.0;558.1;330.2;144714;2370;0.324;0.01637713;4.134550277
5;53;2;5;P-;M32;;2;199.8;626.2;408.8;201040;2616;0.369;0.013012336;3.134728591
5;54;2;6;P-;M32;;2;153.1;593.4;367.8;171435;2456;0.357;0.014326129;3.875918463
5;52;2;4;P-;M32;;2;198.8;433.9;407.6;138904;1996;0.438;0.014369637;2.183029785
9;99;2;6;P-;M34;;2;252.2;711.1;410.4;229191;2780;0.373;0.012129621;2.820061231
9;98;2;5;P-;M34;;2;302.3;561.5;433.3;191069;2338;0.439;0.012236417;1.857569652
9;97;2;4;P-;M34;;2;326.2;408.2;312.7;100254;1722;0.425;0.017176372;1.251504533
8;91;4;10;P-;M36;;2;293.7;732.8;487.2;280413;2788;0.453;0.009942478;2.495377323
8;92;4;11;P-;M36;;2;236.3;603.1;377.0;178570;2360;0.403;0.013216106;2.552390021
8;93;4;12;P-;M36;;2;204.0;556.8;345.6;151162;2228;0.383;0.014739154;2.729814791
7;79;4;10;P-;M38;;2;292.7;789.8;471.3;292329;2972;0.416;0.010166627;2.698002671
7;80;4;11;P-;M38;;2;226.1;748.0;407.4;239343;2848;0.371;0.011899241;3.308137323
7;81;4;12;P-;M38;;2;235.0;452.6;294.8;104789;1732;0.439;0.016528452;1.926069658
9;101;3;8;P+;PH1_2014;;2;242.0;581.9;392.5;179384;2582;0.338;0.014393703;2.404211013
9;102;3;9;P+;PH1_2014;;2;163.9;572.5;374.6;168427;2498;0.339;0.014831351;3.492630372
9;100;3;7;P+;PH1_2014;;2;242.7;525.5;389.7;160825;2450;0.337;0.01523395;2.16495886
9;94;1;1;P+;PH1_2015;;2;358.5;852.3;567.1;379605;3412;0.41;0.00898829;2.377404383
9;95;1;2;P+;PH1_2015;;2;302.9;835.8;452.8;297234;3324;0.338;0.011183108;2.759454721
9;96;1;3;P+;PH1_2015;;2;256.0;699.4;396.8;218003;2764;0.359;0.012678725;2.732318438
6;67;4;10;P+;PH2_2015;;2;182.9;752.4;520.4;307544;3226;0.371;0.010489556;4.114457732
6;68;4;11;P+;PH2_2015;;2;176.2;692.9;469.2;255354;2774;0.417;0.01086335;3.931841008
6;69;4;12;P+;PH2_2015;;2;103.2;593.3;301.9;140697;2242;0.352;0.015934952;5.746147662
6;58;1;1;P+;PH4_2015;;2;283.9;665.9;515.0;269313;3186;0.333;0.011830101;2.345889217
6;59;1;2;P+;PH4_2015;;2;248.9;657.4;374.2;193235;2794;0.311;0.014459078;2.641093216
6;60;1;3;P+;PH4_2015;;2;194.3;655.4;323.8;166671;2596;0.311;0.015575595;3.373215986
17;190;1;1;P-;M27;;3;229.3;796.5;547.8;342665;3400;0.372;0.009922227;3.473519869
17;192;1;3;P-;M27;;3;115.8;582.5;487.4;222998;2926;0.327;0.013121194;5.032492441
17;191;1;2;P-;M27;;3;195.0;475.2;456.7;170454;2334;0.393;0.013692844;2.436438679
20;226;1;1;P+;M31;;3;289.4;747.4;514.3;301938;3170;0.378;0.010498844;2.582522226
20;227;1;2;P+;M31;;3;239.0;702.2;429.1;236636;2900;0.354;0.012255109;2.938185181
20;228;1;3;P+;M31;;3;129.7;539.7;329.6;139729;2194;0.365;0.015701823;4.159894252
13;148;3;7;P-;M32;;3;275.0;658.2;533.0;275529;2822;0.435;0.010242116;2.393688674
13;149;3;7;P-;M32;;3;172.0;658.3;502.3;259707;2774;0.424;0.010681268;3.828141265
13;150;3;8;P-;M32;;3;163.9;662.2;421.1;219026;2598;0.408;0.011861605;4.040703137
13;145;2;4;P-;M34;;3;231.5;500.7;421.2;165617;2132;0.458;0.012873075;2.162959891
13;147;2;6;P-;M34;;3;123.5;506.6;284.8;113296;1862;0.411;0.016434826;4.101469576
17;193;2;4;P-;M36;;3;298.3;665.7;608.2;317980;2908;0.473;0.009145229;2.23150386
17;194;2;5;P-;M36;;3;225.8;886.9;535.2;372832;3434;0.397;0.009210583;3.928359769
17;195;2;6;P-;M36;;3;103.9;680.0;450.0;240363;2662;0.426;0.011074916;6.547472102
20;233;3;8;P-;M38;;3;164.6;733.1;466.3;268478;2924;0.395;0.010891023;4.454461492
20;232;3;7;P-;M38;;3;291.0;649.6;445.1;227054;2514;0.451;0.011072256;2.232398529
20;234;3;9;P-;M38;;3;226.0;655.0;376.9;193919;2560;0.372;0.013201388;2.898955521
12;130;1;1;P+;PH1_2014;;3;246.3;677.3;474.7;252511;2698;0.436;0.010684683;2.74946007
12;131;1;2;P+;PH1_2014;;3;254.9;679.4;420.0;224117;2760;0.37;0.012314996;2.665351211
12;132;1;3;P+;PH1_2014;;3;165.9;638.6;328.7;164868;2366;0.37;0.014350875;3.848979838
14;154;1;1;P+;PH1_2015;;3;145.2;792.7;420.5;261784;3214;0.318;0.012277297;5.459209675
14;155;1;2;P+;PH1_2015;;3;86.9;713.5;345.0;193366;2964;0.277;0.015328445;8.212381742
14;156;1;3;P+;PH1_2015;;3;132.5;633.7;283.3;141025;2512;0.281;0.017812445;4.782218265
16;188;4;11;P+;PH2_2015;;3;254.3;744.7;447.8;261882;2804;0.419;0.010707112;2.928134977
16;187;4;10;P+;PH2_2015;;3;235.8;659.6;462.8;239716;2634;0.434;0.010988002;2.796782373
16;189;4;12;P+;PH2_2015;;3;236.5;683.2;361.4;193899;2508;0.387;0.012934569;2.888727743
13;142;1;1;P+;PH3_2015;;3;231.2;619.8;506.6;246597;2766;0.405;0.011216681;2.681154906
13;144;1;3;P+;PH3_2015;;3;201.4;670.1;439.7;231428;3002;0.323;0.012971637;3.327901987
13;143;1;2;P+;PH3_2015;;3;201.8;633.6;388.7;193409;2604;0.358;0.013463696;3.140023788
13;152;4;11;P+;PH4_2015;;3;163.2;657.6;397.6;205338;2860;0.315;0.013928255;4.02993234
13;151;4;9;P+;PH4_2015;;3;175.4;627.1;401.9;197968;2886;0.299;0.014578114;3.575992929
13;153;4;12;P+;PH4_2015;;3;126.7;642.9;339.0;171188;2664;0.303;0.015561838;5.073498891
11;128;4;11;P-;M27;;4;206.6;382.7;364.2;109475;1738;0.455;0.015875771;1.852059409
11;129;4;12;P-;M27;;4;102.2;406.2;373.2;119045;2032;0.362;0.017069176;3.973809081
11;127;4;10;P-;M27;;4;88.3;440.5;329.5;114020;2056;0.339;0.018031924;4.989444117
11;119;1;2;P+;M31;;4;243.0;567.0;404.5;180117;2316;0.422;0.012858309;2.332968489
11;118;1;1;P+;M31;;4;299.7;637.1;417.6;208941;2734;0.351;0.013085034;2.125902197
11;120;1;3;P+;M31;;4;51.7;343.2;297.0;80046;1574;0.406;0.019663693;6.635848546
23;266;2;5;P-;M32;;4;277.4;753.1;506.4;299558;3006;0.417;0.010034785;2.714836724
23;267;2;6;P-;M32;;4;201.7;598.8;396.5;186463;2470;0.384;0.013246596;2.967905188
23;265;2;4;P-;M32;;4;206.3;505.9;297.5;118190;1894;0.414;0.016025044;2.451780193
14;163;4;10;P-;M34;;4;212.6;492.7;379.9;146990;1964;0.479;0.013361453;2.317332656
14;165;4;12;P-;M34;;4;96.5;516.6;278.0;112811;1810;0.433;0.016044535;5.35290217
19;217;2;4;P-;M36;;4;259.7;622.4;367.2;179501;2692;0.311;0.014997131;2.396579011
19;218;2;5;P-;M36;;4;179.8;627.6;298.3;147059;2506;0.294;0.01704078;3.490681053
19;219;2;6;P-;M36;;4;131.4;536.3;263.4;110924;2182;0.293;0.019671126;4.080351232
25;283;1;1;P-;M38;;4;227.7;622.4;481.6;235406;2636;0.426;0.011197676;2.733185777
25;284;1;2;P-;M38;;4;179.0;608.5;383.4;183224;2442;0.386;0.013327948;3.399433507
25;285;1;3;P-;M38;;4;144.7;493.0;338.6;131121;2028;0.401;0.01546663;3.406436991
15;176;4;11;P+;PH1_2014;;4;232.4;624.7;387.2;189985;2566;0.363;0.013506329;2.688347175
15;175;4;10;P+;PH1_2014;;4;152.3;582.5;311.5;142516;2318;0.333;0.01626484;3.824931545
15;177;4;12;P+;PH1_2014;;4;101.4;531.8;273.7;114330;2002;0.358;0.017510715;5.242449334
19;214;1;1;P+;PH1_2015;;4;346.3;847.9;493.0;328351;3350;0.368;0.010202497;2.448354022
19;215;1;2;P+;PH1_2015;;4;230.4;757.1;463.5;275636;3226;0.333;0.011703841;3.285631832
19;216;1;3;P+;PH1_2015;;4;120.6;702.5;371.8;205156;2754;0.34;0.013423931;5.823974664
23;263;1;2;P+;PH2;;4;94.1;484.8;226.3;86180;1622;0.412;0.018821072;5.153758663
23;262;1;1;P+;PH2;;4;77.9;441.0;211.8;73349;1502;0.409;0.020477443;5.659300042
23;264;1;3;P+;PH2;;4;55.7;359.3;212.7;60032;1248;0.484;0.020788913;6.450903998
21;247;4;10;P+;PH3_2015;;4;182.6;678.9;493.8;263336;2894;0.395;0.010989762;3.719060009
21;248;4;11;P+;PH3_2015;;4;181.9;629.3;412.8;204032;2576;0.386;0.012625471;3.460483122
21;249;4;12;P+;PH3_2015;;4;193.7;574.7;369.4;166722;2402;0.363;0.014407217;2.967194664
15;170;2;5;P+;PH4_2015;;4;218.6;632.0;440.2;218470;2808;0.348;0.012853023;2.890541597
15;169;2;4;P+;PH4_2015;;4;213.7;561.1;428.3;188763;2576;0.357;0.013646742;2.625797244
